Id,SpeakerName,Phrase,translation
2006103001,いろは,みなさん、キャンプ場、キャンプ場ですよ！,
2006103002,叶羽,言われなくても見ればわかるわ。はしゃぐな。,
2006103003,いろは,うぅ……だって、今日は楽しみにしてたファンミーティング当日なんですよ！？ ,
2006103004,いろは,ここでテンション上げずにいつ上げるんですか！,
2006103005,叶羽,SSR引いた時。,
2006103006,カミラ,ウチはお気にのコスメの新作が出た時とか？,
2006103007,蕾,タロットで『運命の輪』を引いた時だな。,
2006103008,いろは,皆さん、それぞれテンション上がる条件があるんですね……。,
2006103009,いろは,うぅ……それも理解できますが……。/nとにかく今日は元気だしていきましょー！　ね、みとちゃん？,
2006103010,美兎,……うぅ。,
2006103011,いろは,あれ？　みとちゃん？　どうしたんです？　バスに酔いましたか？,
2006103012,美兎,うぅ……ファンミーティング、ちゃんと話せるかな……。/nファンのみんなに喜んでもらえるか、ちょっと不安で……。,
2006103013,いろは,みとちゃんなら大丈夫です！　僕もついてますし！,
2006103014,叶羽,そんな調子じゃファンが心配して楽しめないでしょーが。/nプロの名折れよ、名折れ。,
2006103015,美兎,う、うん、わかってるんだけど、考えちゃうとどうしても……。,
2006103016,叶羽,しょうがないなー。よし、模擬ファンサするか！/nロールプレイよ！　ロープレ！,
2006103017,いろは,本番前の緊張をお稽古で解消するんですね！　さすがですっ！,
2006103018,叶羽,じゃあ、あたしがファン役やるから、美兎は演者ね。,
2006103019,美兎,う、うん……お願いします。,
2006103020,いろは,大丈夫ですよ♪　相手は叶羽ちゃんですから。/n今のうちにシミュレーションしておきましょう！,
2006103021,美兎,え、ええと……できるかな……。,
2006103022,蕾,まずは深呼吸から始めると良い。/n大自然の息吹を体内に取り込むだけで気持ちが整うものだ。,
2006103023,美兎,う、うん……すぅ……はぁ……よし、少し落ち着いた……かも？,
2006103024,叶羽,わ～！　本物のみとちゃんだ～！　サインお願いしまーす！,
2006103025,美兎,え、えっと……ありがとうございます……あの……並んで……。,
2006103026,叶羽,お願いします！　お願いします！,
2006103027,美兎,えっと……あの……。,
2006103028,叶羽,サイン！　みとちゃんのサイン！,
2006103029,いろは,わぁ……圧がすごいです……たまにいらっしゃいますよね、/nああいうファンの方……。,
2006103030,カミラ,それな～、再現度マジ高いわ～。,
2006103031,蕾,才能の無駄遣いというものだな。,
2006103032,叶羽,アタシの名前入りで！　あと今日の意気込み、ください！,
2006103033,美兎,が、がんばりますっ……！,
2006103034,いろは,かわいいですよ、みとちゃん！　その素直さ、絶対刺さります！,
2006103035,蕾,圧の強いファンにも負けぬ愛嬌。確かに計算では出せない味わいがある。,
2006103036,美兎,そ、そうなのかな……そんな風に言われたの初めて……。,
2006103037,いろは,そのままでいいんです、ほんとに。変に演じようとしないで。,
2006103038,叶羽,ファンってね、/n“あの子、今日も元気そうだな”って思えるのが一番嬉しいんだって。,
2006103039,叶羽,無理して明るくしなくても、ちゃんと届くもんなんだって。,
2006103040,美兎,そうなんだ……なんだか、ちょっと気が楽になったかも。,
2006103041,蕾,自然体と言葉にするのは容易いが、実行するのは本当に難しい。,
2006103042,蕾,なればこそ、それこそが肝要なのだ。,
2006103043,いろは,みんなで練習しましたし、絶対大丈夫です！　僕が保証します！,
2006103044,カミラ,そーそー、みとりんなら大丈夫！/nゲーフェスでもやりとげたし！,
2006103045,美兎,うぅ……ありがとう……みんな、やさしい……。,
2006103046,いろは,緊張してもいいんです！　楽しみましょう！/n役者もファンも楽しんでこその電姫ですからっ！,
2006103047,叶羽,笑顔だけ忘れなきゃ大丈夫だって。ファンってそういうとこ敏感だから。,
2006103048,美兎,う、うん……がんばる……！,
2006103049,要,差し入れ持ってきたわよー。/n糖分と塩分取って、しっかり脳みそ働かせてちょうだい。,
2006103050,叶羽,お、良いタイミングじゃん要～。/nいただきま～す。,
2006103051,いろは,ちょっ、早すぎですよ、叶羽ちゃん！？/nまだいろいろ準備しなきゃいけないんですから～。,
2006103052,美兎,ポテチ食べながらファンの人と接触って……いいのかな？,
2006103053,蕾,いいわけがなかろう。,
2006103054,叶羽,サイン欲しい人は並んでねー！　アタシはここから動きませーん！,
2006103055,カミラ,さっきまでのプロ意識はどこにいったん～！？,
2006103056,蕾,反面教師役まで見せるとは、良い先輩を持ったな。/n白丸はこうなってはいかんぞ。,
2006103057,美兎,……うん、美兎がんばってみるね。みんなと一緒なら、きっと……！,
title,メイクとリベンジ,,
info,翻译：XXX  校对：XXX,,
