Id,SpeakerName,Phrase,translation
2004504001,黛雅,では、わたくしたちはここで。,那么、我们就到这边。
2004504002,历,ええ。ご案内ありがとうございました。,嗯。谢谢你们带路了。
2004504003,历,結局丸一日お付き合いいただいてしまいましたわね。,结果劳烦你们陪我们逛了一天。
2004504004,露比,気にしないでくださいっ。露比たちも、/n皆さんと一緒にお出かけできて楽しかったですし。ねっ、善子ちゃん。,别介意。露比我们、/n也觉得大家能一起出门很开心哦。对吧，小善子
2004504005,善子,善子じゃなくてヨハネだってば！,我不叫善子叫夜羽！
2004504006,善子,はぁ。でも、まあ、刺激的で楽しかったわ。,唉。但是、怎么说呢、反正很刺激很尽兴呢。
2004504007,千歌,もう、善子ちゃんは素直じゃないんだから～。/nみんなとお出かけできて楽しかったよねっ。,真是的、小善子真是不坦率呢~/n和大家一起出门很开心吧。
2004504008,心菜,うん！　綺麗な景色もたくさん見られたし、/nみんながこの町が大好きなこともとーっても伝わってきたよ。,嗯！看到了很美的风景、/n也明白了大家真的很喜欢这座城市哦。
2004504009,伊吕波,善子ちゃん、今日はありがとうございましたっ。,小善子、今天谢谢你了。
2004504010,伊吕波,結局なにも結論は出せませんでしたが……。,虽然到最后都没决定好……。
2004504011,善子,ま、伊吕波が本気だっていうのはわかったわ。/n明日も見に行くんだから、今夜はあんまり考えすぎるんじゃないわよ。,没事、你也认真地考虑过了。/n明天再去看看吧、今晚就好好休息。
2004504012,伊吕波,えへへ……お恥ずかしい限りです……。/n今夜はもうちょっとだけ考えてみます。,欸嘿嘿……真是羞愧……。/n那我今晚再想想吧。
2004504013,初魅,じゃあ、そろそろ私たちも宿に戻るが/n本当に送って行かなくていいのか？　せっかく車もあるんだが……。,那、我也差不多该回去了/n真的不需要我送吗？难得我开车来了……。
2004504014,善子,本っ当に大丈夫！　まだ、バスあるんで！！！,没事的啦！现在、还赶得上公交！！！
2004504015,善子,それに、知らない人の車に乗るのは天界堕天条例に違反するわ。,而且、搭陌生人的车违反天界堕天条例。
2004504016,初魅,なんだ、私の楽園とは違い、天界はずいぶん狭量なんだな。,什么啊、跟我的乐园比起来、天界的规矩还真多啊。
