Id,SpeakerName,Phrase,translation
1040404001,カミラ,ねーねー、いろっちとみとりんってさ、/nやっぱダイスター目指して演劇やってるの？,呐呐，彩彩和兔兔，/n你们果然也是为了成为『世界之星』才演戏的吗？
1040404002,いろは・美兎,えっ？,诶？
1040404003,カミラ,いや、こないだ、いろっちが言ってたじゃん？/nホロスコープシーズンはダイスターに選ばれやすいって……。,不，就是前阵子，彩彩不是说过吗？/n在『星座赛季』比较容易被选为『世界之星』……。
1040404004,カミラ,ってことは、今回のホロスコープシーズンで、/n電姫のメンバーからもダイスターが選ばれる可能性があるってことっしょ？,也就是说，在这次的『星座赛季』中，/n电姬的成员里也有可能产生『世界之星』，对吧？
1040404005,カミラ,やっぱ、ダイスターになりたいって考えたりする？/nってか、もし選ばれちゃったら、どーする！？,说到底，你们会有想成为『世界之星』的想法吗？/n或者说，如果真被选上了，打算怎么办！？
1040404006,美兎,えっと……み、美兎は、そんなダイスターなんて……まだまだで……。/n考えたことない……かな。夢のまた夢っていうか……。,那个……美、美兔的话，『世界之星』什么的……还差得远呢……。/n没怎么想过……感觉像是梦中之梦……。
1040404007,いろは,ええっ！　もったいない！　みとちゃんの演技、すごいんですから！/nきっと世界演劇リーグの人たちにも認められちゃいますよ！,诶诶！太可惜了！美兔酱的演技非常厉害的！/n一定也会得到『世界演剧联盟』那些人的认可的！
1040404008,美兎,うーん……ど、どうだろう……？/nでも、ありがとう……いろはちゃん。,唔……是、是这样吗……？/n不过，谢谢你……彩叶酱。
1040404009,美兎,ただ、美兎にとっては……みんなの演技の方がすごいと思うし……。/n今は、電姫を応援してくれるお客さんが喜んでくれれば、それでいいかな。,只是，对美兔来说……我觉得大家的演技更厉害……。/n现在的话，只要支持电姬的观众们能开心，我就满足了。
1040404010,カミラ,みとりんは相変わらず、謙虚だね～。/nウチがダイスターに選ばれたら、ソッコーでみんなに自慢するのになー！,兔兔还是一如既往地谦虚呢～。/n要是我的话被选为『世界之星』，绝对会光速向大家炫耀的！
1040404011,カミラ,まぁ、ウチが選ばれる確率は超低いんだけど……、/n『もしも』の話だから！　今じゃなくて、いつかは選ばれるかもだし！,嘛，虽然我被选上的概率超级低……/n但这只是『如果』嘛！就算不是现在，说不定以后哪天就被选上了呢！
1040404012,いろは,『もしも』なんてことはないですよっ！/nカミラちゃんだって、選ばれちゃうかもしれないじゃないですか！,才没有什么『如果』呢！/n卡蜜拉酱也是有可能被选上的呀！
1040404013,いろは,カミラちゃんの演技は、唯一無二の輝きがあって、/n配信でも、目の前にいるみたいな存在感が出せちゃいますし、すごいです！,卡蜜拉酱的演技有着独一无二的光芒，/n哪怕是在直播里，也能展现出仿佛就在眼前的存在感，真的很厉害！
1040404014,カミラ,いろっち褒めすぎだって！　なんか照れちゃうわ～。,彩彩你夸过头啦！搞得人家都不好意思了～。
1040404015,カミラ,けど、ガチでダイスターが誕生したら、めちゃヤバじゃない！？,不过，如果真的诞生了『世界之星』，那不是超牙白（糟糕）的吗！？
1040404016,カミラ,電姫の知名度だって爆上がりだし、絶対今より人気出るよね？/nそしたらガチで有名劇団の仲間入りできそーじゃない？,电姬的知名度绝对会暴涨，人气也肯定会比现在更高吧？/n到时候不是真的能跻身名门剧团的行列了吗？
1040404017,いろは,ですねっ！　きっと電姫も、さらに有名になると思いますっ！/nそのためにも、みんなで頑張って、次の公演を成功させましょう！,没错！电姬一定会变得更加出名的！/n为了那个目标，大家一起努力，让下一场公演大获成功吧！
1040404018,美兎,うんっ……美兎も、頑張る……ね！/nまずはオーディションに向けて、台本を覚えないと……！,嗯……美兔也会，加油的……！/n首先为了试镜，必须得把台词记住才行……！
1040404019,カミラ,あっ……ってかさ、話の腰折って悪いんだけど、/n『オズの魔法使い』ってさ、どんな話なの？,啊……话说回来，虽然打断你们很抱歉，/n那个『绿野仙踪』，到底是个什么样的故事啊？
1040404020,いろは,カミラちゃん知らなかったんですね……！　ちょっと意外です……！/nなんとなくですが、カミラちゃんの好きそうなお話だったので。,卡蜜拉酱竟然不知道吗……！真让人意外……！/n总觉得这故事像是卡蜜拉酱会喜欢的类型呢。
1040404021,美兎,でも、たしかに絵本とか読まなかったら触れることないもんね……。/n有名ではあるけど、知らなくても、おかしくはないのかも……。,不过，如果不去读绘本之类的，确实没什么接触的机会呢……。/n虽然很有名，但就算不知道，或许也不奇怪……。
1040404022,カミラ,そうそう、名前は聞いたことあるんだけど、/nなかなか内容まで知る機会がなかったんだよね～。,就是说嘛，名字虽然听过，/n但一直没什么机会去了解具体内容呢～。
1040404023,蕾,なるほどな……では私から説明しよう！,原来如此……那就由我来解释吧！
1040404024,カミラ,わっ……先輩！？　ビビった～！/nってか、いつの間に……ここ２年の教室なのに。,哇……前辈！？吓死我了～！/n话说，你什么时候来的……这里可是二年级的教室哦。
1040404025,蕾,すまない。そんなに驚くとは思わなかったものでな。/n……では、さっそく本題に入るが、『オズの魔法使い』の物語だったな。,抱歉。没想到会让你们吃惊成那样。/n……那么，言归正传，是在谈论『绿野仙踪』的故事对吧。
1040404026,カミラ,そうです！/n教えて下さい、先輩……いえ、蕾先生！,没错！/n请教教我们吧，前辈……不对，蕾老师！
1040404027,蕾,ごほんっ！　オズの魔法使いとは、ドロシーという少女が主人公の物語だ。/nある日竜巻のせいで、ドロシーはオズ王国に家ごと飛ばされてしまう。,咳咳！『绿野仙踪』讲述的是一位名叫多萝茜的少女的故事。/n某天因为龙卷风的关系，多萝茜连同房子一起被吹到了奥兹国。
1040404028,蕾,故郷のカンザスに帰るために、魔法の銀の靴を履いたドロシーは、/n偉大な魔法使いオズがいるというエメラルドの都を目指し、旅に出る。,为了回到家乡堪萨斯，穿上魔法银鞋的多萝茜，/n朝着传闻中伟大的魔法师奥兹所居住的翡翠城，踏上了旅程。
1040404029,蕾,その道中で、喋るカカシ、臆病なライオン、ブリキの木こりを仲間にし……/nというのが大雑把なあらすじだ。,在那途中，她与会说话的稻草人、胆小的狮子、铁皮伐木工成为了伙伴……/n大致的梗概就是这样。
1040404030,蕾,とはいえ、ようやくオズに会っても簡単に故郷に帰してはもらえず、/n悪い魔女を倒してこい、などと難題をふっかけられたりするのだがな。,虽说如此，好不容易见到奥兹后，对方却并没有轻易让她回家，/n而是给她出了去打倒邪恶女巫之类的难题。
